doc_id,item,category,amount,price,discount
3DYBYEYWE6,Разделочная доска бамбуковая,Посуда,3,329.39,0.0
3DYBYEYWE6,Гирлянда светодиодная 5м,Освещение и электрика,4,517.01,106.7
XQKJLSPCVO,Коврик придверный,Декор для дома,5,522.83,338.5
XQKJLSPCVO,Комплект постельного белья 2-спальный,Текстиль,3,2196.81,0.0
9CBSDEKU3N,Чистящее средство Cif 750мл,Бытовая химия,5,199.33,0.0
9CBSDEKU3N,Коврик придверный,Декор для дома,1,536.13,0.0
9CBSDEKU3N,Форма для выпечки силиконовая,Посуда,5,339.67,233.72
9CBSDEKU3N,Светильник настольный,Освещение и электрика,1,945.65,37.45
9CBSDEKU3N,Ночник настенный LED,Освещение и электрика,5,388.92,267.39
CYSMOVMR98,Свеча ароматическая в банке,Декор для дома,2,431.35,107.15
CYSMOVMR98,Гирлянда светодиодная 5м,Освещение и электрика,3,507.96,0.0
CYSMOVMR98,Гель для стирки Persil 1.5л,Бытовая химия,2,511.93,0.0
NU3LBG5L2S,Мешки для мусора 60л 30шт,Хозтовары,3,187.7,0.0
NU3LBG5L2S,Таблетки для посудомоечных машин Finish 30шт,Бытовая химия,2,800.4,199.72
NU3LBG5L2S,Гирлянда светодиодная 5м,Освещение и электрика,3,523.89,0.0
ITVZUPFCHW,Чайник заварочный стеклянный 1л,Посуда,1,565.94,0.0
U8Y00HOYJE,Штора для ванной комнаты 180х180,Текстиль,3,555.27,388.13
U8Y00HOYJE,Средство для мытья посуды Fairy 500мл,Бытовая химия,1,175.76,0.0
U8Y00HOYJE,Коврик придверный,Декор для дома,5,451.94,461.81
U8Y00HOYJE,Кондиционер для белья Lenor 1л,Бытовая химия,3,263.85,0.0
U8Y00HOYJE,Набор ножей кухонных 5 предметов,Посуда,2,1701.9,0.0
7JBLJY11IM,Перчатки резиновые хозяйственные,Хозтовары,1,85.88,0.0
7JBLJY11IM,Гирлянда светодиодная 5м,Освещение и электрика,4,454.22,0.0
7JBLJY11IM,Ночник настенный LED,Освещение и электрика,2,371.03,72.5
7JBLJY11IM,Скатерть гобеленовая 150х180,Текстиль,1,1595.72,59.91
7JBLJY11IM,Сковорода антипригарная 26см,Посуда,5,1157.63,0.0
7JBLJY11IM,Универсальное чистящее средство Domestos 750мл,Бытовая химия,4,229.83,0.0
7SSD4JR85B,Ведро пластиковое 10л,Хозтовары,1,297.7,0.0
7SSD4JR85B,Подушка ортопедическая 50х70,Текстиль,1,958.8,124.8
7SSD4JR85B,Удлинитель сетевой 5м 3 розетки,Освещение и электрика,1,619.78,0.0
FYR94KWJLB,Свеча ароматическая в банке,Декор для дома,3,355.97,150.73
SW8F8WL4GE,Батарейки AA комплект 4шт,Освещение и электрика,3,240.15,0.0
SW8F8WL4GE,Средство для мытья окон Mr.Muscle 500мл,Бытовая химия,5,217.98,0.0
SW8F8WL4GE,Чистящее средство Cif 750мл,Бытовая химия,5,225.44,0.0
QN6Q9HJ6RY,Светильник настольный,Освещение и электрика,2,856.2,399.94
QN6Q9HJ6RY,Средство для мытья посуды Fairy 500мл,Бытовая химия,1,197.82,0.0
QN6Q9HJ6RY,Ведро пластиковое 10л,Хозтовары,4,257.9,0.0
GHUJ9WQM8O,Универсальное чистящее средство Domestos 750мл,Бытовая химия,1,264.35,0.0
GHUJ9WQM8O,Ведро пластиковое 10л,Хозтовары,1,303.21,0.0
2BV3P8U4B6,Средство для мытья посуды Fairy 500мл,Бытовая химия,5,157.33,0.0
TR2FMHJ10Y,Мешки для мусора 60л 30шт,Хозтовары,2,236.08,0.0
WKGNW0JK8Y,Стиральный порошок Ariel 3кг,Бытовая химия,4,583.09,0.0
WKGNW0JK8Y,Сушилка для белья напольная,Хозтовары,4,1239.22,0.0
WKGNW0JK8Y,Кружка керамическая 350мл,Посуда,1,177.06,0.0
WKGNW0JK8Y,Плед флисовый 150х200,Текстиль,1,1198.74,0.0
P70MZ8BQJT,Рамка для фото 15х20,Декор для дома,3,298.65,0.0
7IG7NZ9NNP,Набор столовых приборов 24 предмета,Посуда,3,1903.36,0.0
CUMGL48ZX1,Коврик придверный,Декор для дома,3,500.16,0.0
CUMGL48ZX1,Отбеливатель Vanish 1л,Бытовая химия,1,380.95,0.0
CUMGL48ZX1,Светильник настольный,Освещение и электрика,3,809.36,0.0
CUMGL48ZX1,Чистящее средство Cif 750мл,Бытовая химия,4,204.05,125.01
IRFGAHFRYX,Панно декоративное настенное,Декор для дома,4,1344.84,0.0
IRFGAHFRYX,Судочки для хранения еды набор 3шт,Посуда,2,495.83,0.0
IRFGAHFRYX,Рамка для фото 15х20,Декор для дома,2,271.82,70.6
IRFGAHFRYX,Подушка ортопедическая 50х70,Текстиль,4,978.18,14.42
IRFGAHFRYX,Веник хозяйственный,Хозтовары,1,145.94,0.0
37D14F4IR8,Тарелка обеденная керамическая,Посуда,1,250.25,0.0
37D14F4IR8,Универсальное чистящее средство Domestos 750мл,Бытовая химия,3,242.26,99.09
37D14F4IR8,Панно декоративное настенное,Декор для дома,3,1025.77,209.2
37D14F4IR8,Тряпка для пола микрофибра,Хозтовары,3,224.04,0.0
37D14F4IR8,Сковорода антипригарная 26см,Посуда,1,1428.14,0.0
37D14F4IR8,Веник хозяйственный,Хозтовары,4,134.2,0.0
6I11FO4BYA,Кастрюля с крышкой 3л,Посуда,3,1691.85,0.0
6I11FO4BYA,Судочки для хранения еды набор 3шт,Посуда,5,425.91,0.0
76RRPEDAM5,Стиральный порошок Ariel 3кг,Бытовая химия,1,668.21,0.0
76RRPEDAM5,Сушилка для белья напольная,Хозтовары,1,1365.11,0.0
76RRPEDAM5,Коврик придверный,Декор для дома,2,448.42,0.0
76RRPEDAM5,Подушка ортопедическая 50х70,Текстиль,1,1090.33,0.0
76RRPEDAM5,Гель для стирки Persil 1.5л,Бытовая химия,2,506.96,0.0
6HXV6VRHXT,Кружка керамическая 350мл,Посуда,5,196.88,0.0
6HXV6VRHXT,Универсальное чистящее средство Domestos 750мл,Бытовая химия,3,289.59,0.0
6HXV6VRHXT,Ведро пластиковое 10л,Хозтовары,3,283.9,0.0
ENB5AES5LG,Набор столовых приборов 24 предмета,Посуда,1,2511.43,0.0
4MUE1OE69Y,Тарелка обеденная керамическая,Посуда,4,188.26,120.54
4MUE1OE69Y,Отбеливатель Vanish 1л,Бытовая химия,2,390.86,31.16
4MUE1OE69Y,Тряпка для пола микрофибра,Хозтовары,3,190.92,0.0
4MUE1OE69Y,Сушилка для белья напольная,Хозтовары,4,1246.76,0.0
4MUE1OE69Y,Удлинитель сетевой 5м 3 розетки,Освещение и электрика,4,591.43,0.0
3UFZX1PJPM,Средство для мытья посуды Fairy 500мл,Бытовая химия,1,192.16,0.0
3UFZX1PJPM,Лампа светодиодная E27 10Вт,Освещение и электрика,4,129.81,78.05
Z6TFVPNPWS,Полотенце кухонное вафельное,Текстиль,4,116.51,0.0
Z6TFVPNPWS,Стиральный порошок Ariel 3кг,Бытовая химия,1,711.0,0.0
IOPE03JTJ7,Ваза керамическая настольная,Декор для дома,5,1001.41,0.0
IOPE03JTJ7,Чистящее средство Cif 750мл,Бытовая химия,5,209.77,172.03
IOPE03JTJ7,Комплект постельного белья 2-спальный,Текстиль,3,2658.98,0.0
IOPE03JTJ7,Коврик придверный,Декор для дома,2,526.47,216.15
IOPE03JTJ7,Гель для стирки Persil 1.5л,Бытовая химия,1,439.49,0.0
E6QAJZEU4I,Тряпка для пола микрофибра,Хозтовары,3,244.59,43.85
E6QAJZEU4I,Чайник заварочный стеклянный 1л,Посуда,3,624.42,421.52
XAEOI31ULM,Штора для ванной комнаты 180х180,Текстиль,4,668.33,0.0
XAEOI31ULM,Корзина для белья складная,Хозтовары,3,560.43,133.06
XAEOI31ULM,Средство для мытья посуды Fairy 500мл,Бытовая химия,2,183.88,0.0
XAEOI31ULM,Чайник заварочный стеклянный 1л,Посуда,1,551.03,0.0
XAEOI31ULM,Веник хозяйственный,Хозтовары,3,145.38,0.0
XAEOI31ULM,Универсальное чистящее средство Domestos 750мл,Бытовая химия,3,242.33,0.0
7F8I339KOI,Веник хозяйственный,Хозтовары,1,169.35,0.0
