doc_id,item,category,amount,price,discount
ERYZIDRRV8,Свеча ароматическая в банке,Декор для дома,2,382.54,0.0
ERYZIDRRV8,Мешки для мусора 60л 30шт,Хозтовары,4,186.08,0.0
ERYZIDRRV8,Подушка ортопедическая 50х70,Текстиль,2,886.42,0.0
D7WH7L290Q,Разделочная доска бамбуковая,Посуда,1,366.86,0.0
D7WH7L290Q,Форма для выпечки силиконовая,Посуда,2,387.88,0.0
D7WH7L290Q,Тарелка обеденная керамическая,Посуда,1,210.64,0.0
91272NO244,Коврик придверный,Декор для дома,5,550.73,0.0
91272NO244,Кружка керамическая 350мл,Посуда,1,179.06,0.0
K2ESNSY19W,Лампа светодиодная E27 10Вт,Освещение и электрика,2,156.01,0.0
K2ESNSY19W,Чистящее средство Cif 750мл,Бытовая химия,2,237.25,0.0
K2ESNSY19W,Таблетки для посудомоечных машин Finish 30шт,Бытовая химия,3,951.18,0.0
K2ESNSY19W,Набор ножей кухонных 5 предметов,Посуда,1,2042.6,0.0
3WM4B89MWA,Рамка для фото 15х20,Декор для дома,3,314.98,0.0
3WM4B89MWA,Совок для мусора с щёткой,Хозтовары,2,173.94,0.0
3WM4B89MWA,Набор столовых приборов 24 предмета,Посуда,2,1992.69,0.0
3WM4B89MWA,Средство от накипи Antikalk 500мл,Бытовая химия,2,221.64,0.0
3WM4B89MWA,Кастрюля с крышкой 3л,Посуда,3,1744.57,0.0
3WM4B89MWA,Панно декоративное настенное,Декор для дома,3,1153.83,0.0
AKZH7ETBKE,Швабра с отжимом,Хозтовары,2,555.52,0.0
AKZH7ETBKE,Судочки для хранения еды набор 3шт,Посуда,3,442.73,0.0
1N2FX6343Y,Стиральный порошок Ariel 3кг,Бытовая химия,2,579.15,0.0
JQBW72UDUN,Швабра с отжимом,Хозтовары,4,582.33,0.0
JQBW72UDUN,Корзина для белья складная,Хозтовары,4,647.31,0.0
JQBW72UDUN,Наматрасник непромокаемый 160х200,Текстиль,3,775.41,0.0
JQBW72UDUN,Универсальное чистящее средство Domestos 750мл,Бытовая химия,1,237.93,0.0
JQBW72UDUN,Судочки для хранения еды набор 3шт,Посуда,5,453.84,0.0
JQBW72UDUN,Сковорода антипригарная 26см,Посуда,1,1532.08,0.0
APHRMP8WTI,Коврик придверный,Декор для дома,1,429.25,0.0
APHRMP8WTI,Скатерть гобеленовая 150х180,Текстиль,3,1440.86,0.0
APHRMP8WTI,Ваза керамическая настольная,Декор для дома,2,786.5,0.0
APHRMP8WTI,Средство от накипи Antikalk 500мл,Бытовая химия,3,200.83,97.5
APHRMP8WTI,Тарелка обеденная керамическая,Посуда,5,247.84,0.0
MTKG1C9V8P,Ночник настенный LED,Освещение и электрика,3,401.38,0.0
MTKG1C9V8P,Полотенце кухонное вафельное,Текстиль,3,110.06,0.0
MTKG1C9V8P,Комплект постельного белья 2-спальный,Текстиль,5,2641.95,0.0
MTKG1C9V8P,Средство от накипи Antikalk 500мл,Бытовая химия,1,206.64,0.0
MTKG1C9V8P,Сковорода антипригарная 26см,Посуда,1,1416.4,0.0
NI2MUZ1YP5,Скатерть гобеленовая 150х180,Текстиль,3,1491.72,0.0
FNXN02YZZX,Тарелка обеденная керамическая,Посуда,5,215.76,0.0
FNXN02YZZX,Разделочная доска бамбуковая,Посуда,1,402.24,0.0
FNXN02YZZX,Плед флисовый 150х200,Текстиль,4,1364.98,0.0
FNXN02YZZX,Подушка ортопедическая 50х70,Текстиль,1,929.29,0.0
A2LRW7U7N9,Набор столовых приборов 24 предмета,Посуда,3,2231.23,0.0
BMHX55C8X0,Плед флисовый 150х200,Текстиль,5,1362.01,978.57
BMHX55C8X0,Средство от накипи Antikalk 500мл,Бытовая химия,5,224.01,0.0
BMHX55C8X0,Форма для выпечки силиконовая,Посуда,1,440.28,0.0
BMHX55C8X0,Панно декоративное настенное,Декор для дома,4,1061.27,0.0
GTPILHH7NR,Судочки для хранения еды набор 3шт,Посуда,5,407.33,0.0
GTPILHH7NR,Батарейки AA комплект 4шт,Освещение и электрика,2,192.2,0.0
GTPILHH7NR,Штора для ванной комнаты 180х180,Текстиль,2,687.96,0.0
GTPILHH7NR,Гель для стирки Persil 1.5л,Бытовая химия,2,532.19,0.0
GTPILHH7NR,Ведро пластиковое 10л,Хозтовары,2,293.61,0.0
EBPQGXU2GI,Форма для выпечки силиконовая,Посуда,5,382.95,162.17
VHIEJGGDUR,Полотенце банное 70х140,Текстиль,3,512.03,74.21
H94A6O7LLW,Швабра с отжимом,Хозтовары,3,724.5,0.0
H94A6O7LLW,Совок для мусора с щёткой,Хозтовары,1,216.6,29.76
5C5RUCMBVO,Ведро пластиковое 10л,Хозтовары,5,302.94,170.07
5C5RUCMBVO,Совок для мусора с щёткой,Хозтовары,2,187.71,53.38
5C5RUCMBVO,Сушилка для белья напольная,Хозтовары,5,1380.98,0.0
5C5RUCMBVO,Штора для ванной комнаты 180х180,Текстиль,1,630.62,143.13
5C5RUCMBVO,Средство для мытья посуды Fairy 500мл,Бытовая химия,5,191.67,0.0
5C5RUCMBVO,Кондиционер для белья Lenor 1л,Бытовая химия,1,347.54,0.0
G0TVLSX0MK,Ведро пластиковое 10л,Хозтовары,2,310.53,0.0
G0TVLSX0MK,Светильник настольный,Освещение и электрика,3,1017.6,0.0
