doc_id,item,category,amount,price,discount
4KR1W6DC2R,Кружка керамическая 350мл,Посуда,1,204.28,0.0
4KR1W6DC2R,Кондиционер для белья Lenor 1л,Бытовая химия,4,275.01,0.0
4KR1W6DC2R,Штора для ванной комнаты 180х180,Текстиль,2,604.25,0.0
4KR1W6DC2R,Комплект постельного белья 2-спальный,Текстиль,5,2288.35,0.0
4KR1W6DC2R,Рамка для фото 15х20,Декор для дома,1,313.95,0.0
VE847YX1G9,Полотенце кухонное вафельное,Текстиль,2,102.44,0.0
VE847YX1G9,Сушилка для белья напольная,Хозтовары,4,1444.11,0.0
VE847YX1G9,Средство для мытья окон Mr.Muscle 500мл,Бытовая химия,5,207.09,0.0
VE847YX1G9,Кастрюля с крышкой 3л,Посуда,2,1676.02,0.0
MTCXINJ90P,Чайник заварочный стеклянный 1л,Посуда,2,617.75,0.0
0CDUWVP3RC,Губки для посуды набор 5шт,Хозтовары,5,95.39,95.32
0CDUWVP3RC,Подушка ортопедическая 50х70,Текстиль,4,897.25,0.0
0CDUWVP3RC,Набор столовых приборов 24 предмета,Посуда,5,2526.69,0.0
0CDUWVP3RC,Наматрасник непромокаемый 160х200,Текстиль,5,978.6,973.52
0CDUWVP3RC,Чайник заварочный стеклянный 1л,Посуда,1,549.76,0.0
0CDUWVP3RC,Перчатки резиновые хозяйственные,Хозтовары,1,101.97,12.26
8BKFZOFGOS,Скатерть гобеленовая 150х180,Текстиль,4,1274.11,0.0
8BKFZOFGOS,Разделочная доска бамбуковая,Посуда,2,393.04,0.0
M2D7YR74Z6,Средство для мытья окон Mr.Muscle 500мл,Бытовая химия,5,201.91,0.0
M2D7YR74Z6,Набор ножей кухонных 5 предметов,Посуда,1,1980.13,236.41
SRCXMDWVGM,Гирлянда светодиодная 5м,Освещение и электрика,3,434.17,32.32
SRCXMDWVGM,Разделочная доска бамбуковая,Посуда,5,396.35,0.0
SRCXMDWVGM,Губки для посуды набор 5шт,Хозтовары,5,101.73,61.81
SRCXMDWVGM,Удлинитель сетевой 5м 3 розетки,Освещение и электрика,4,738.08,0.0
SRCXMDWVGM,Чистящее средство Cif 750мл,Бытовая химия,1,195.8,0.0
SRCXMDWVGM,Кастрюля с крышкой 3л,Посуда,3,1746.14,0.0
91JXI7YKPY,Лампа светодиодная E27 10Вт,Освещение и электрика,4,144.87,123.4
9CJ9NEA7M5,Отбеливатель Vanish 1л,Бытовая химия,2,399.18,0.0
4V5O66E2WN,Стиральный порошок Ariel 3кг,Бытовая химия,4,705.76,664.09
4V5O66E2WN,Универсальное чистящее средство Domestos 750мл,Бытовая химия,5,263.11,0.0
4V5O66E2WN,Удлинитель сетевой 5м 3 розетки,Освещение и электрика,3,650.86,0.0
4V5O66E2WN,Тряпка для пола микрофибра,Хозтовары,4,189.88,0.0
4V5O66E2WN,Средство для мытья посуды Fairy 500мл,Бытовая химия,1,164.48,26.17
UCY1L8CXYL,Совок для мусора с щёткой,Хозтовары,4,213.29,145.58
UCY1L8CXYL,Гирлянда светодиодная 5м,Освещение и электрика,3,529.16,0.0
UCY1L8CXYL,Губки для посуды набор 5шт,Хозтовары,3,95.05,0.0
