doc_id,item,category,amount,price,discount
SB8IP3BW5O,Кастрюля с крышкой 3л,Посуда,4,1446.28,1125.79
SB8IP3BW5O,Одеяло стёганое 200х220,Текстиль,5,2162.07,0.0
SB8IP3BW5O,Свеча ароматическая в банке,Декор для дома,1,334.95,0.0
SB8IP3BW5O,Ночник настенный LED,Освещение и электрика,2,315.05,77.7
SB8IP3BW5O,Корзина для белья складная,Хозтовары,1,612.74,0.0
FWJGRFZ03J,Полотенце кухонное вафельное,Текстиль,4,111.83,0.0
FWJGRFZ03J,Скатерть гобеленовая 150х180,Текстиль,4,1350.56,280.51
FWJGRFZ03J,Отбеливатель Vanish 1л,Бытовая химия,4,370.89,0.0
FWJGRFZ03J,Форма для выпечки силиконовая,Посуда,4,401.25,36.8
FWJGRFZ03J,Коврик придверный,Декор для дома,3,539.15,402.14
KXVXPX5C7U,Подсвечник металлический,Декор для дома,1,310.86,0.0
KXVXPX5C7U,Скатерть гобеленовая 150х180,Текстиль,4,1454.4,0.0
KXVXPX5C7U,Комплект постельного белья 2-спальный,Текстиль,2,2743.55,1145.8
S8E5J7DX6Y,Лампа светодиодная E27 10Вт,Освещение и электрика,5,144.33,0.0
S8E5J7DX6Y,Ваза керамическая настольная,Декор для дома,1,887.58,85.49
RSQROKF4BP,Свеча ароматическая в банке,Декор для дома,1,448.14,32.81
RSQROKF4BP,Наматрасник непромокаемый 160х200,Текстиль,5,1010.32,41.29
RSQROKF4BP,Сковорода антипригарная 26см,Посуда,5,1321.71,0.0
TL1BQJSEKE,Стиральный порошок Ariel 3кг,Бытовая химия,4,560.79,0.0
TL1BQJSEKE,Универсальное чистящее средство Domestos 750мл,Бытовая химия,1,264.23,0.0
TL1BQJSEKE,Скатерть гобеленовая 150х180,Текстиль,4,1455.02,0.0
TL1BQJSEKE,Одеяло стёганое 200х220,Текстиль,5,1993.92,0.0
TL1BQJSEKE,Отбеливатель Vanish 1л,Бытовая химия,5,341.7,0.0
TL1BQJSEKE,Тарелка обеденная керамическая,Посуда,1,191.65,33.93
Z87LCDMR0I,Лампа светодиодная E27 10Вт,Освещение и электрика,1,129.74,9.43
Z87LCDMR0I,Таблетки для посудомоечных машин Finish 30шт,Бытовая химия,1,984.42,0.0
Z87LCDMR0I,Рамка для фото 15х20,Декор для дома,2,328.93,0.0
XW6CVL52GR,Подушка ортопедическая 50х70,Текстиль,4,999.46,0.0
XW6CVL52GR,Скатерть гобеленовая 150х180,Текстиль,1,1414.14,0.0
XW6CVL52GR,Светильник настольный,Освещение и электрика,3,794.19,0.0
XW6CVL52GR,Кружка керамическая 350мл,Посуда,3,201.65,0.0
XW6CVL52GR,Мешки для мусора 60л 30шт,Хозтовары,3,215.18,0.0
BNN46011GJ,Коврик придверный,Декор для дома,4,520.16,335.5
BNN46011GJ,Чайник заварочный стеклянный 1л,Посуда,4,515.91,0.0
